Aux out [V]	Aux in [V]	PDH out [a.u.]
8.5966E-2	5.5435E-1	-4.6200E+2
8.6201E-2	5.5386E-1	-3.8900E+2
8.6554E-2	5.5241E-1	2.7000E+1
8.6907E-2	5.5338E-1	-5.6700E+2
8.7260E-2	5.5168E-1	5.0100E+2
8.7495E-2	5.5143E-1	-5.2100E+2
8.7848E-2	5.5168E-1	-6.9400E+2
8.8201E-2	5.5362E-1	-2.5300E+2
8.8554E-2	5.5046E-1	-1.6700E+2
8.8789E-2	5.5119E-1	5.8200E+2
8.9142E-2	5.4998E-1	-1.2300E+2
8.9495E-2	5.4949E-1	-3.1000E+1
8.9848E-2	5.4998E-1	-8.0000E+1
9.0201E-2	5.4900E-1	9.4000E+1
9.0436E-2	5.4949E-1	-2.0100E+2
9.0789E-2	5.4633E-1	1.4500E+2
9.1142E-2	5.4779E-1	-5.0300E+2
9.1495E-2	5.4609E-1	1.7400E+2
9.1848E-2	5.4730E-1	8.8000E+1
9.2084E-2	5.4730E-1	1.4900E+2
9.2437E-2	5.4609E-1	-1.1000E+1
9.2790E-2	5.4560E-1	-1.7000E+2
9.3143E-2	5.4317E-1	-4.6900E+2
9.3378E-2	5.4415E-1	3.5600E+2
9.3731E-2	5.4415E-1	-1.9600E+2
9.4084E-2	5.4366E-1	5.8000E+1
9.4437E-2	5.4390E-1	1.1100E+2
9.4790E-2	5.4269E-1	-2.9900E+2
9.5025E-2	5.4172E-1	3.8400E+2
9.5378E-2	5.3929E-1	2.4600E+2
9.5731E-2	5.4317E-1	1.4700E+2
9.6084E-2	5.4147E-1	4.4000E+1
9.6437E-2	5.4099E-1	-3.9000E+1
9.6672E-2	5.3904E-1	-4.6200E+2
9.7025E-2	5.3953E-1	3.0000E+2
9.7378E-2	5.3904E-1	3.6500E+2
9.7613E-2	5.3783E-1	-2.1000E+1
9.8084E-2	5.3832E-1	-2.6900E+2
9.8319E-2	5.3734E-1	3.0300E+2
9.8672E-2	5.3759E-1	-1.9000E+1
9.9025E-2	5.3661E-1	1.2600E+2
9.9261E-2	5.3613E-1	-4.0700E+2
9.9614E-2	5.3686E-1	3.8000E+1
9.9967E-2	5.3661E-1	4.0000E+1
1.0032E-1	5.3394E-1	3.1000E+1
1.0067E-1	5.3540E-1	6.4000E+1
1.0091E-1	5.3443E-1	-1.2700E+2
1.0126E-1	5.3249E-1	4.9800E+2
1.0161E-1	5.3297E-1	9.1000E+1
1.0197E-1	5.3078E-1	-7.9000E+1
1.0232E-1	5.3151E-1	6.7600E+2
1.0256E-1	5.3103E-1	-8.0000E+0
1.0291E-1	5.3054E-1	-2.9900E+2
1.0326E-1	5.2933E-1	3.3700E+2
1.0361E-1	5.3176E-1	-1.0000E+0
1.0385E-1	5.2787E-1	-1.1000E+1
1.0420E-1	5.2787E-1	1.4600E+2
1.0456E-1	5.2714E-1	5.7000E+1
1.0491E-1	5.2860E-1	-1.7000E+2
1.0526E-1	5.2641E-1	-3.0900E+2
1.0550E-1	5.2520E-1	-3.3100E+2
1.0585E-1	5.2520E-1	1.8400E+2
1.0620E-1	5.2690E-1	1.4200E+2
