Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.5854E-1	4.4260E-1	6.1100E+2
-3.5642E-1	4.3313E-1	9.2900E+2
-3.5454E-1	4.2292E-1	5.3300E+2
-3.5266E-1	4.1199E-1	1.2100E+3
-3.5077E-1	4.0324E-1	9.9900E+2
-3.4889E-1	3.9401E-1	3.6900E+2
-3.4677E-1	3.8430E-1	1.0160E+3
-3.4489E-1	3.7531E-1	6.9300E+2
-3.4301E-1	3.6243E-1	9.8400E+2
-3.4113E-1	3.5053E-1	3.2700E+2
-3.3924E-1	3.4324E-1	1.3530E+3
-3.3736E-1	3.3158E-1	3.7900E+2
-3.3524E-1	3.2113E-1	1.3870E+3
-3.3336E-1	3.1190E-1	9.2700E+2
-3.3148E-1	3.0413E-1	1.8400E+2
-3.2959E-1	2.9222E-1	3.3500E+2
-3.2771E-1	2.8299E-1	5.1400E+2
-3.2559E-1	2.7400E-1	7.0600E+2
-3.2371E-1	2.6647E-1	3.8500E+2
-3.2183E-1	2.5773E-1	4.2800E+2
-3.1995E-1	2.4898E-1	6.8100E+2
-3.1806E-1	2.4169E-1	4.2500E+2
-3.1618E-1	2.3562E-1	6.5300E+2
-3.1406E-1	2.2930E-1	7.7600E+2
-3.1218E-1	2.2396E-1	9.0000E+0
-3.1030E-1	2.1862E-1	9.8300E+2
-3.0842E-1	2.1351E-1	3.8400E+2
-3.0653E-1	2.0841E-1	4.0000E+1
-3.0442E-1	2.1084E-1	-1.2200E+2
-3.0253E-1	2.0112E-1	1.0600E+3
-3.0065E-1	1.9432E-1	4.8900E+2
-2.9877E-1	1.9675E-1	-1.1000E+1
-2.9689E-1	1.9554E-1	7.5300E+2
-2.9500E-1	1.8946E-1	4.3900E+2
-2.9289E-1	1.9286E-1	-9.7000E+1
-2.9100E-1	2.1376E-1	1.0110E+3
-2.8912E-1	1.8679E-1	4.4600E+2
-2.8724E-1	1.8728E-1	-2.0200E+2
-2.8536E-1	2.2080E-1	-2.4740E+3
-2.8324E-1	2.0088E-1	2.0960E+3
-2.8136E-1	1.7562E-1	5.4800E+2
-2.7947E-1	1.6954E-1	3.6100E+2
-2.7759E-1	1.6711E-1	-5.7800E+2
-2.7571E-1	1.6517E-1	-2.7300E+2
-2.7383E-1	1.6541E-1	2.0200E+2
-2.7171E-1	1.7197E-1	3.6100E+2
-2.6983E-1	1.6566E-1	-6.6000E+1
-2.6794E-1	1.6906E-1	1.8300E+2
-2.6606E-1	1.7052E-1	1.4900E+2
-2.6418E-1	1.7319E-1	4.2000E+1
-2.6206E-1	1.7489E-1	-5.9100E+2
-2.6018E-1	1.7805E-1	-4.1000E+2
-2.5830E-1	1.8290E-1	-5.1100E+2
-2.5641E-1	1.8801E-1	1.6500E+2
-2.5453E-1	1.9092E-1	-3.2600E+2
-2.5241E-1	1.9651E-1	-4.2600E+2
-2.5053E-1	2.0234E-1	-3.2000E+2
-2.4865E-1	2.0817E-1	-2.6500E+2
-2.4677E-1	2.1400E-1	-5.9100E+2
-2.4488E-1	2.2032E-1	-4.2600E+2
-2.4300E-1	2.2517E-1	-6.1600E+2
-2.4088E-1	2.3441E-1	-5.4800E+2
-2.3900E-1	2.4121E-1	-6.4200E+2
-2.3712E-1	2.5068E-1	-6.4100E+2
-2.3523E-1	2.5846E-1	-8.9600E+2
-2.3335E-1	2.6526E-1	-7.7500E+2
-2.3123E-1	2.7570E-1	-4.6900E+2
-2.2935E-1	2.8615E-1	-6.2300E+2
-2.2747E-1	2.9587E-1	-8.6000E+2
-2.2559E-1	3.0583E-1	-9.7100E+2
-2.2370E-1	3.1457E-1	-9.2600E+2
-2.2182E-1	3.2551E-1	-1.6330E+3
-2.1970E-1	3.3547E-1	-1.0110E+3
-2.1782E-1	3.4664E-1	-1.0450E+3
-2.1594E-1	3.5660E-1	-8.0000E+2
-2.1406E-1	3.6680E-1	-3.9400E+2
-2.1217E-1	3.7895E-1	-1.0770E+3
-2.1006E-1	3.8964E-1	-9.0300E+2
-2.0817E-1	4.0082E-1	-9.9200E+2
-2.0629E-1	4.0980E-1	-9.1500E+2
-2.0441E-1	4.2074E-1	-1.0920E+3
-2.0253E-1	4.2997E-1	-1.0070E+3
-2.0064E-1	4.4090E-1	-9.1000E+2
-1.9853E-1	4.5062E-1	-6.1400E+2
-1.9664E-1	4.6058E-1	-1.1600E+3
-1.9476E-1	4.7005E-1	-9.1300E+2
-1.9288E-1	4.7904E-1	-8.3100E+2
-1.9100E-1	4.8779E-1	-1.1920E+3
-1.8888E-1	4.9556E-1	-4.6700E+2
-1.8700E-1	5.0358E-1	-8.6800E+2
-1.8511E-1	5.1135E-1	-5.6200E+2
-1.8323E-1	5.1961E-1	-6.6300E+2
-1.8135E-1	5.2593E-1	-8.5200E+2
-1.7947E-1	5.3200E-1	-1.4160E+3
-1.7735E-1	5.3856E-1	-7.2300E+2
-1.7547E-1	5.4560E-1	-7.3600E+2
-1.7358E-1	5.4998E-1	-6.3900E+2
-1.7170E-1	5.5483E-1	-1.6700E+2
-1.6982E-1	5.6067E-1	-6.2300E+2
-1.6770E-1	5.6601E-1	-5.4800E+2
-1.6582E-1	5.7087E-1	-6.4700E+2
-1.6394E-1	5.7524E-1	-6.3800E+2
-1.6205E-1	5.7743E-1	8.6000E+1
-1.6017E-1	5.8107E-1	-5.6100E+2
-1.5829E-1	5.8350E-1	-5.9300E+2
-1.5617E-1	5.8666E-1	-9.0900E+2
