Aux out [V]	Aux in [V]	PDH out [a.u.]
6.6154E-1	5.1815E-1	-4.7900E+2
6.6166E-1	5.1839E-1	-7.7300E+2
6.6166E-1	5.1985E-1	-8.0000E+2
6.6177E-1	5.1864E-1	-2.9400E+2
6.6177E-1	5.1815E-1	-4.0700E+2
6.6189E-1	5.2058E-1	-6.1400E+2
6.6201E-1	5.1839E-1	-1.3900E+2
6.6201E-1	5.1937E-1	-1.5200E+2
6.6213E-1	5.1815E-1	-3.1700E+2
6.6213E-1	5.1961E-1	-1.7000E+2
6.6224E-1	5.1815E-1	-4.9300E+2
6.6224E-1	5.1985E-1	-8.0000E+0
6.6236E-1	5.1864E-1	-2.4900E+2
6.6248E-1	5.1937E-1	2.5400E+2
6.6248E-1	5.1839E-1	6.2500E+2
6.6260E-1	5.1815E-1	-2.7000E+2
6.6260E-1	5.1864E-1	2.1400E+2
6.6271E-1	5.1937E-1	-2.8200E+2
6.6271E-1	5.1815E-1	-3.3300E+2
6.6283E-1	5.1791E-1	5.0600E+2
6.6295E-1	5.1961E-1	1.2300E+2
6.6295E-1	5.1791E-1	-2.9100E+2
6.6307E-1	5.1839E-1	3.6400E+2
6.6307E-1	5.1742E-1	9.4800E+2
6.6319E-1	5.1815E-1	-4.3400E+2
6.6319E-1	5.1839E-1	4.3100E+2
6.6330E-1	5.1985E-1	8.4900E+2
6.6342E-1	5.1839E-1	-7.7600E+2
6.6342E-1	5.1815E-1	-7.9000E+1
6.6354E-1	5.1694E-1	2.9000E+1
6.6354E-1	5.1694E-1	4.3000E+2
6.6366E-1	5.1791E-1	5.3600E+2
6.6366E-1	5.1621E-1	8.3400E+2
6.6377E-1	5.1742E-1	-2.3000E+1
6.6389E-1	5.1694E-1	-9.6000E+1
6.6389E-1	5.1742E-1	3.6700E+2
6.6401E-1	5.1694E-1	-3.3000E+1
6.6401E-1	5.1694E-1	1.8900E+2
6.6413E-1	5.1524E-1	-1.5000E+2
6.6413E-1	5.1645E-1	3.0700E+2
6.6424E-1	5.1645E-1	-2.9000E+1
6.6436E-1	5.1378E-1	-5.4000E+1
6.6436E-1	5.1524E-1	2.3100E+2
6.6448E-1	5.1451E-1	2.3100E+2
6.6448E-1	5.1621E-1	1.7600E+2
6.6460E-1	5.1548E-1	1.3000E+2
6.6460E-1	5.1451E-1	1.4800E+2
6.6471E-1	5.1548E-1	-8.9000E+2
6.6483E-1	5.1548E-1	-5.7900E+2
6.6483E-1	5.1427E-1	-1.9300E+2
6.6495E-1	5.1548E-1	-5.3400E+2
6.6495E-1	5.1354E-1	-3.4200E+2
6.6507E-1	5.1378E-1	-2.1000E+2
6.6507E-1	5.1499E-1	-5.4000E+1
6.6519E-1	5.1499E-1	-1.6300E+2
6.6530E-1	5.1402E-1	-1.3800E+2
6.6530E-1	5.1427E-1	8.2000E+1
6.6542E-1	5.1329E-1	-4.1500E+2
6.6542E-1	5.1378E-1	-6.1900E+2
6.6554E-1	5.1499E-1	-3.5100E+2
6.6554E-1	5.1548E-1	4.1500E+2
6.6566E-1	5.1305E-1	4.3100E+2
6.6577E-1	5.1378E-1	1.4800E+2
6.6577E-1	5.1354E-1	-2.3300E+2
6.6589E-1	5.1499E-1	-4.3100E+2
6.6589E-1	5.1451E-1	-5.4500E+2
6.6601E-1	5.1451E-1	-3.0000E+2
6.6601E-1	5.1524E-1	1.4700E+2
6.6613E-1	5.1475E-1	1.9700E+2
6.6624E-1	5.1475E-1	4.3000E+1
6.6624E-1	5.1256E-1	4.4500E+2
6.6636E-1	5.1354E-1	-7.0600E+2
6.6636E-1	5.1402E-1	-2.7900E+2
6.6648E-1	5.1354E-1	-5.8900E+2
6.6648E-1	5.1378E-1	-5.8100E+2
6.6660E-1	5.1378E-1	-1.0900E+2
6.6671E-1	5.1378E-1	-5.8700E+2
6.6671E-1	5.1305E-1	-4.7800E+2
6.6683E-1	5.1427E-1	-1.1200E+2
6.6683E-1	5.1451E-1	2.2600E+2
6.6695E-1	5.1281E-1	-5.0100E+2
6.6695E-1	5.1378E-1	-1.6400E+2
6.6707E-1	5.1475E-1	-1.2800E+2
6.6719E-1	5.1451E-1	-4.8000E+1
6.6719E-1	5.1548E-1	-2.2600E+2
6.6730E-1	5.1329E-1	-3.4900E+2
6.6730E-1	5.1427E-1	-2.5700E+2
6.6742E-1	5.1402E-1	-3.3100E+2
6.6742E-1	5.1499E-1	-1.9000E+2
6.6754E-1	5.1451E-1	1.0000E+1
6.6766E-1	5.1281E-1	-9.4000E+1
6.6766E-1	5.1427E-1	-3.1000E+1
6.6777E-1	5.1427E-1	-1.5500E+2
6.6777E-1	5.1451E-1	-5.7800E+2
6.6789E-1	5.1378E-1	1.1200E+2
6.6789E-1	5.1475E-1	-8.7000E+1
6.6801E-1	5.1232E-1	-4.3100E+2
6.6813E-1	5.1451E-1	-5.0100E+2
6.6813E-1	5.1524E-1	-2.5300E+2
6.6824E-1	5.1499E-1	2.0000E+2
6.6824E-1	5.1354E-1	-4.8900E+2
6.6836E-1	5.1427E-1	-3.0400E+2
6.6836E-1	5.1524E-1	-2.2900E+2
6.6848E-1	5.1427E-1	-4.7600E+2
6.6860E-1	5.1791E-1	-5.7200E+2
6.6860E-1	5.1451E-1	-7.1000E+1
6.6872E-1	5.1451E-1	-9.5900E+2
6.6872E-1	5.1597E-1	-5.7400E+2
6.6883E-1	5.1572E-1	-1.8500E+2
6.6883E-1	5.1427E-1	5.5300E+2
6.6895E-1	5.1548E-1	-2.7700E+2
6.6907E-1	5.1572E-1	-4.0900E+2
6.6907E-1	5.1427E-1	-6.6900E+2
6.6919E-1	5.1597E-1	-9.2300E+2
6.6919E-1	5.1572E-1	-6.7700E+2
6.6930E-1	5.1499E-1	1.1100E+2
6.6930E-1	5.1475E-1	-9.8800E+2
6.6942E-1	5.1475E-1	2.0100E+2
6.6954E-1	5.1621E-1	-4.4500E+2
6.6954E-1	5.1767E-1	-4.2400E+2
6.6966E-1	5.1451E-1	-8.2700E+2
6.6966E-1	5.1645E-1	-3.6100E+2
6.6977E-1	5.1839E-1	-2.8500E+2
6.6977E-1	5.1718E-1	-5.8700E+2
6.6989E-1	5.1718E-1	-4.6000E+2
6.7001E-1	5.1742E-1	-2.0100E+2
6.7001E-1	5.1742E-1	-2.5400E+2
6.7013E-1	5.1864E-1	-6.5400E+2
6.7013E-1	5.1864E-1	-7.6100E+2
6.7024E-1	5.1815E-1	-7.4700E+2
6.7036E-1	5.1864E-1	-8.7300E+2
6.7036E-1	5.1791E-1	-8.2000E+2
6.7048E-1	5.1839E-1	-3.6600E+2
6.7048E-1	5.1985E-1	-2.8400E+2
6.7060E-1	5.2082E-1	-8.5300E+2
6.7060E-1	5.2034E-1	-4.2400E+2
6.7072E-1	5.1961E-1	-5.4300E+2
6.7083E-1	5.2204E-1	-1.0990E+3
6.7083E-1	5.2082E-1	-6.1800E+2
6.7095E-1	5.2301E-1	-4.2400E+2
6.7095E-1	5.2058E-1	-3.2600E+2
6.7107E-1	5.2228E-1	-5.7400E+2
6.7107E-1	5.2010E-1	-9.1200E+2
6.7119E-1	5.2398E-1	-3.6900E+2
6.7119E-1	5.2228E-1	-9.2500E+2
6.7130E-1	5.2252E-1	-1.1490E+3
6.7142E-1	5.2325E-1	-3.7000E+2
6.7142E-1	5.2228E-1	-5.1000E+2
6.7154E-1	5.2277E-1	-5.8800E+2
6.7154E-1	5.2423E-1	-3.7400E+2
