Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.1571E-1	3.1992E-1	5.7900E+2
-3.1548E-1	3.1870E-1	7.0800E+2
-3.1512E-1	3.1749E-1	4.6500E+2
-3.1489E-1	3.1700E-1	4.9100E+2
-3.1453E-1	3.1579E-1	5.7200E+2
-3.1430E-1	3.1409E-1	5.5200E+2
-3.1406E-1	3.1336E-1	4.3200E+2
-3.1371E-1	3.0996E-1	1.2310E+3
-3.1348E-1	3.0996E-1	5.0200E+2
-3.1312E-1	3.0899E-1	9.8500E+2
-3.1289E-1	3.0656E-1	1.2900E+3
-3.1253E-1	3.0559E-1	9.8300E+2
-3.1230E-1	3.0316E-1	5.6800E+2
-3.1195E-1	3.0267E-1	5.1000E+1
-3.1171E-1	3.0048E-1	1.0440E+3
-3.1148E-1	3.0170E-1	6.6900E+2
-3.1112E-1	2.9927E-1	7.6800E+2
-3.1089E-1	2.9684E-1	1.5800E+2
-3.1053E-1	2.9563E-1	9.9900E+2
-3.1030E-1	2.9392E-1	8.8200E+2
-3.0995E-1	2.9320E-1	1.1020E+3
-3.0971E-1	2.9150E-1	6.1700E+2
-3.0948E-1	2.9004E-1	9.1300E+2
-3.0912E-1	2.8955E-1	5.6000E+2
-3.0877E-1	2.8712E-1	6.2300E+2
-3.0853E-1	2.8712E-1	4.9100E+2
-3.0830E-1	2.8567E-1	5.0700E+2
-3.0795E-1	2.8567E-1	2.9300E+2
-3.0771E-1	2.8348E-1	4.7000E+2
-3.0736E-1	2.8154E-1	5.6000E+1
-3.0712E-1	2.8081E-1	9.2600E+2
-3.0677E-1	2.7862E-1	1.1450E+3
-3.0653E-1	2.7741E-1	5.4400E+2
-3.0630E-1	2.7595E-1	6.0000E+0
-3.0595E-1	2.7498E-1	3.9400E+2
-3.0571E-1	2.7352E-1	7.4900E+2
-3.0536E-1	2.7206E-1	-1.3600E+2
-3.0512E-1	2.7206E-1	2.5000E+2
-3.0477E-1	2.6890E-1	3.0800E+2
-3.0453E-1	2.6720E-1	2.0000E+0
-3.0418E-1	2.6769E-1	6.2400E+2
-3.0395E-1	2.6647E-1	1.0000E+0
-3.0371E-1	2.6550E-1	1.0580E+3
-3.0336E-1	2.6477E-1	8.5600E+2
-3.0312E-1	2.6210E-1	3.8800E+2
-3.0277E-1	2.6016E-1	8.4500E+2
-3.0253E-1	2.5967E-1	5.8300E+2
-3.0218E-1	2.5919E-1	1.1520E+3
-3.0195E-1	2.5991E-1	-3.1200E+2
-3.0171E-1	2.5603E-1	3.3800E+2
-3.0136E-1	2.5603E-1	8.8200E+2
-3.0112E-1	2.5311E-1	8.4800E+2
-3.0077E-1	2.5360E-1	1.1930E+3
-3.0053E-1	2.5214E-1	4.8600E+2
-3.0018E-1	2.5044E-1	-2.0000E+2
-2.9995E-1	2.4971E-1	5.7400E+2
-2.9971E-1	2.4923E-1	-5.5000E+1
-2.9936E-1	2.4728E-1	6.4500E+2
-2.9912E-1	2.4704E-1	-2.4100E+2
-2.9877E-1	2.4437E-1	1.4300E+2
-2.9853E-1	2.4412E-1	5.5300E+2
-2.9818E-1	2.4315E-1	6.8600E+2
-2.9795E-1	2.4291E-1	1.9500E+2
-2.9759E-1	2.4218E-1	6.7400E+2
-2.9736E-1	2.4024E-1	-2.5000E+2
-2.9712E-1	2.3951E-1	4.7000E+2
-2.9677E-1	2.3781E-1	3.4000E+2
-2.9653E-1	2.3829E-1	6.6500E+2
-2.9618E-1	2.3708E-1	1.2000E+3
-2.9595E-1	2.3659E-1	2.9000E+2
-2.9559E-1	2.3562E-1	6.4300E+2
-2.9536E-1	2.3392E-1	3.3800E+2
-2.9512E-1	2.3343E-1	-3.4000E+1
-2.9477E-1	2.3222E-1	9.0800E+2
-2.9442E-1	2.3198E-1	9.0300E+2
-2.9418E-1	2.2930E-1	3.9000E+2
-2.9395E-1	2.3028E-1	5.0300E+2
-2.9359E-1	2.2736E-1	-3.0000E+1
-2.9336E-1	2.2858E-1	3.9800E+2
-2.9300E-1	2.2712E-1	3.2000E+2
-2.9277E-1	2.2493E-1	1.3900E+2
-2.9242E-1	2.2590E-1	4.0400E+2
-2.9218E-1	2.2323E-1	9.1300E+2
-2.9195E-1	2.2396E-1	1.4100E+2
-2.9159E-1	2.2420E-1	6.5900E+2
-2.9136E-1	2.2177E-1	4.1200E+2
-2.9100E-1	2.2299E-1	2.0600E+2
-2.9077E-1	2.2177E-1	9.2300E+2
-2.9042E-1	2.2226E-1	4.5800E+2
-2.9018E-1	2.2007E-1	8.0900E+2
-2.8983E-1	2.1983E-1	1.1100E+2
-2.8959E-1	2.1667E-1	2.4700E+2
-2.8936E-1	2.1570E-1	7.1900E+2
